"","d","d","d"
"129","0.00422935358521558","Slow.songs.or.fast.songs","Gardening"
"130","0.0215972995328747","Slow.songs.or.fast.songs","Celebrities"
"131","0.018046439743424","Slow.songs.or.fast.songs","Shopping"
"132","0.0189343109516404","Slow.songs.or.fast.songs","Science.and.technology"
"133","-0.137743485563698","Slow.songs.or.fast.songs","Theatre"
"134","0.0841312831667838","Slow.songs.or.fast.songs","Fun.with.friends"
"135","0.150778157940691","Slow.songs.or.fast.songs","Adrenaline.sports"
"136","0.031664934458218","Slow.songs.or.fast.songs","Pets"
"137","-0.0138310094073488","Slow.songs.or.fast.songs","Flying"
"138","0.0248245615687387","Slow.songs.or.fast.songs","Storm"
"139","-0.0427437750097787","Slow.songs.or.fast.songs","Darkness"
"140","0.031391906106081","Slow.songs.or.fast.songs","Heights"
"141","-0.0508560672242237","Slow.songs.or.fast.songs","Spiders"
"142","-0.0443057634526445","Slow.songs.or.fast.songs","Snakes"
"143","-0.0334517488117212","Slow.songs.or.fast.songs","Rats"
"144","-0.0437704560374936","Slow.songs.or.fast.songs","Ageing"
"145","-0.0413890070407656","Slow.songs.or.fast.songs","Dangerous.dogs"
"146","-0.0625901319738591","Slow.songs.or.fast.songs","Fear.of.public.speaking"
"147","-0.0138357112793368","Slow.songs.or.fast.songs","Healthy.eating"
"148","0.0235494259544707","Slow.songs.or.fast.songs","Daily.events"
"149","-0.0269780962810491","Slow.songs.or.fast.songs","Prioritising.workload"
"150","-0.071737547129228","Slow.songs.or.fast.songs","Writing.notes"
"151","-0.0619134102478668","Slow.songs.or.fast.songs","Workaholism"
"152","-0.0453237432016405","Slow.songs.or.fast.songs","Thinking.ahead"
"153","-0.0389570586096721","Slow.songs.or.fast.songs","Final.judgement"
"154","-0.012370816438237","Slow.songs.or.fast.songs","Reliability"
"155","0.0237743498182687","Slow.songs.or.fast.songs","Keeping.promises"
"156","0.0780000474803939","Slow.songs.or.fast.songs","Loss.of.interest"
"157","-0.0238672785747399","Slow.songs.or.fast.songs","Friends.versus.money"
"158","0.0384856638522816","Slow.songs.or.fast.songs","Funniness"
"159","0.00709451248252381","Slow.songs.or.fast.songs","Fake"
"160","0.0475910889699619","Slow.songs.or.fast.songs","Criminal.damage"
"161","-0.0460179273294333","Slow.songs.or.fast.songs","Decision.making"
"162","-0.0255985166543331","Slow.songs.or.fast.songs","Elections"
"163","-0.0709288941478177","Slow.songs.or.fast.songs","Self.criticism"
"164","-0.00335912528664477","Slow.songs.or.fast.songs","Judgment.calls"
"165","-0.053807177473348","Slow.songs.or.fast.songs","Hypochondria"
"166","-0.0938984257691587","Slow.songs.or.fast.songs","Empathy"
"167","0.0128862002410452","Slow.songs.or.fast.songs","Eating.to.survive"
"168","0.0074255258620953","Slow.songs.or.fast.songs","Giving"
"169","0.00872126218054604","Slow.songs.or.fast.songs","Compassion.to.animals"
"170","-0.0323561527472123","Slow.songs.or.fast.songs","Borrowed.stuff"
"171","-0.0331425327381494","Slow.songs.or.fast.songs","Loneliness"
"172","0.0922772494337927","Slow.songs.or.fast.songs","Cheating.in.school"
"173","-0.0721915169403147","Slow.songs.or.fast.songs","Health"
"174","-0.0147682841043368","Slow.songs.or.fast.songs","Changing.the.past"
"175","-0.0148555326431869","Slow.songs.or.fast.songs","God"
"176","0.0513597998257419","Slow.songs.or.fast.songs","Dreams"
"177","-0.0192427242193373","Slow.songs.or.fast.songs","Charity"
"178","0.0824495413350827","Slow.songs.or.fast.songs","Number.of.friends"
"179","-0.0162671742432599","Slow.songs.or.fast.songs","Waiting"
"180","0.081480476984996","Slow.songs.or.fast.songs","New.environment"
"181","-0.0380742657421273","Slow.songs.or.fast.songs","Mood.swings"
"182","0.0262131334570007","Slow.songs.or.fast.songs","Appearence.and.gestures"
"183","0.0995265391951599","Slow.songs.or.fast.songs","Socializing"
"184","-0.0108226705386761","Slow.songs.or.fast.songs","Achievements"
"185","-0.0561465604925486","Slow.songs.or.fast.songs","Responding.to.a.serious.letter"
"186","-0.00651940250269701","Slow.songs.or.fast.songs","Children"
"187","0.0460764726688291","Slow.songs.or.fast.songs","Assertiveness"
"188","0.0218501102287008","Slow.songs.or.fast.songs","Getting.angry"
"189","0.00919104653733078","Slow.songs.or.fast.songs","Knowing.the.right.people"
"190","-0.0537232984592465","Slow.songs.or.fast.songs","Public.speaking"
"191","-0.0318364925728573","Slow.songs.or.fast.songs","Unpopularity"
"192","-0.0966711104640644","Slow.songs.or.fast.songs","Life.struggles"
"193","0.0648564622043386","Slow.songs.or.fast.songs","Happiness.in.life"
"194","0.0904803365350881","Slow.songs.or.fast.songs","Energy.levels"
"195","0.0759570007328906","Slow.songs.or.fast.songs","Small...big.dogs"
"196","0.108247286873394","Slow.songs.or.fast.songs","Personality"
"197","-0.0703458699427277","Slow.songs.or.fast.songs","Finding.lost.valuables"
"198","-0.0530671006337868","Slow.songs.or.fast.songs","Getting.up"
"199","0.100606641003665","Slow.songs.or.fast.songs","Interests.or.hobbies"
"200","0.0125122431747905","Slow.songs.or.fast.songs","Parents..advice"
"201","0.00223036565468933","Slow.songs.or.fast.songs","Questionnaires.or.polls"
"202","0.0129502623411457","Slow.songs.or.fast.songs","Age"
"203","0.00560889014545594","Slow.songs.or.fast.songs","Number.of.siblings"
